PLR	FEC	PPS	ELossMin	ELossAvg	ELossMax
0.03	0.07	333	0.989799	0.997513	1
0.03	0.1	333	0.997001	0.999862	1
0.03	0.06	333	0.990102	0.995462	0.9994
0.03	0.12	333	0.9994	0.999967	1
0.03	0.17	333	0.9994	0.99997	1
0.03	0.02	333	0.970297	0.977006	0.983498
0.03	0.05	333	0.984999	0.991959	0.9982
0.03	0.19	333	0.9997	0.999982	1
0.03	0.11	333	0.9985	0.999913	1
0.03	0.08	333	0.993699	0.999022	1
0.03	0.145	333	0.9994	0.999928	1
0.03	0.055	333	0.986194	0.993776	0.9988
0.03	0.185	333	0.9994	0.999982	1
0.03	0.015	333	0.967287	0.975822	0.983193
0.03	0.165	333	0.9994	0.999988	1
0.03	0.195	333	0.9994	0.999961	1
0.03	0.155	333	0.9991	0.999985	1
0.03	0.065	333	0.987995	0.996633	1
0.03	0.125	333	0.9994	0.999955	1
0.03	0.045	333	0.981693	0.989271	0.996399
0.03	0.075	333	0.993397	0.998773	1
0.03	0.035	333	0.97509	0.984145	0.989796
0.03	0.115	333	0.9991	0.999925	1
0.03	0.175	333	0.9994	0.999976	1
0.03	0.095	333	0.997299	0.999802	1
0.03	0.005	333	0.964586	0.971624	0.980492
0.03	0.105	333	0.997299	0.999757	1
0.03	0.025	333	0.969388	0.979273	0.987995
0.03	0.135	333	0.9994	0.999895	1
0.03	0.085	333	0.993998	0.999481	1
0.035	0.13	333	0.9994	0.999934	1
0.035	0.14	333	0.9991	0.999952	1
0.035	0.11	333	0.998499	0.999904	1
0.035	0.19	333	0.9997	0.999997	1
0.035	0.05	333	0.979892	0.987713	0.995498
0.035	0.17	333	0.9994	0.999973	1
0.035	0.03	333	0.966997	0.976552	0.982898
0.035	0.1	333	0.996999	0.999775	1
0.035	0.18	333	0.9994	0.999976	1
0.035	0.06	333	0.984394	0.993019	0.9991
0.035	0.01	333	0.959184	0.968926	0.977791
0.035	0.07	333	0.986799	0.996061	1
0.035	0.12	333	0.9994	0.999973	1
0.035	0.15	333	0.9988	0.999916	1
0.035	0	333	0.954982	0.964958	0.973589
0.035	0.09	333	0.995198	0.999259	1
0.035	0.04	333	0.968487	0.981452	0.990096
0.035	0.02	333	0.964286	0.971915	0.979292
0.035	0.16	333	0.9991	0.999949	1
0.035	0.08	333	0.991297	0.998088	1
0.035	0.135	333	0.9991	0.999949	1
0.035	0.145	333	0.9988	0.99991	1
0.035	0.185	333	0.9994	0.999973	1
0.035	0.055	333	0.981993	0.990318	0.996098
0.035	0.065	333	0.985294	0.994511	1
0.035	0.085	333	0.993097	0.999013	1
0.035	0.115	333	0.996699	0.999865	1
0.035	0.075	333	0.990996	0.997548	1
0.035	0.095	333	0.996699	0.99964	1
0.035	0.105	333	0.996999	0.999682	1
0.035	0.165	333	0.9994	0.999985	1
0.035	0.125	333	0.9991	0.999928	1
